Wavelength,Excitation,Emission
300,24.11213664,0
301,23.66591893,0
302,23.09481015,0
303,22.70470996,0
304,22.17284372,0
305,21.4222598,0
306,20.75174045,0
307,20.02400254,0
308,19.10963596,0
309,18.50994375,0
310,17.71023996,0
311,17.02790179,0
312,16.33930895,0
313,15.65235575,0
314,15.01653181,0
315,14.39548584,0
316,13.92477088,0
317,13.52250393,0
318,13.15341051,0
319,12.78820072,0
320,12.49082973,0
321,12.21401366,0
322,11.89905505,0
323,11.65923959,0
324,11.45184184,0
325,11.19495683,0
326,10.93114013,0
327,10.74207939,0
328,10.5743656,0
329,10.29682751,0
330,10.167932,0
331,9.889942956,0
332,9.759693432,0
333,9.597149698,0
334,9.352379073,0
335,9.181727583,0
336,9.04001837,0
337,8.895464887,0
338,8.704873064,0
339,8.536006996,0
340,8.475715079,0
341,8.348693636,0
342,8.190341404,0
343,8.108840594,0
344,7.960072476,0
345,7.860199962,0
346,7.801778756,0
347,7.701334501,0
348,7.68983352,0
349,7.57579291,0
350,7.484844047,0
351,7.35703125,0
352,7.344820461,0
353,7.393949866,0
354,7.332589286,0
355,7.234412358,0
356,7.081221258,0
357,6.970864563,0
358,6.830692523,0
359,6.696037294,0
360,6.532781462,0
361,6.256245904,0
362,6.06193358,0
363,5.83121258,0
364,5.492709203,0
365,5.208286013,0
366,4.912773358,0
367,4.692857143,0
368,4.335979775,0
369,4.116291247,0
370,3.81133487,0
371,3.554010492,0
372,3.260239317,0
373,2.937381872,0
374,2.721578517,0
375,2.50612988,0
376,2.260674561,0
377,2.09564534,0
378,1.902123373,0
379,1.749018122,0
380,1.640217096,0
381,1.511689082,0
382,1.424405013,0
383,1.33697338,0
384,1.267046572,0
385,1.236439163,0
386,1.174340451,0
387,1.141393615,0
388,1.113162908,0
389,1.079890422,0
390,1.040279057,0
391,1.019849566,0
392,1.003509777,0
393,0.997573194,0
394,1.014109684,0
395,1.018415179,0
396,0.99158134,0
397,1.004334318,0
398,1.013342032,0
399,1.046042906,0
400,1.060606665,0
401,1.074341707,0
402,1.143856232,0
403,1.172522532,0
404,1.207801971,0
405,1.24074039,0
406,1.303724718,0
407,1.350848843,0
408,1.417771243,0
409,1.506190448,0
410,1.57565407,0
411,1.650852894,0
412,1.759145614,0
413,1.887350576,0
414,2.048160575,0
415,2.221814622,0
416,2.358516717,0
417,2.468572512,0
418,2.666276642,0
419,2.887982405,0
420,3.057735195,0
421,3.281528032,0
422,3.483786044,0
423,3.734877427,0
424,4.022722244,0
425,4.257591601,0
426,4.547718531,0
427,4.844522665,0
428,5.235605808,0
429,5.568804295,0
430,5.957805753,0
431,6.324358259,0
432,6.882289197,0
433,7.259929441,0
434,7.723901522,0
435,8.205801387,0
436,8.674423438,0
437,9.246980042,0
438,9.792478789,0
439,10.31603289,0
440,10.92596637,0
441,11.53343085,0
442,12.20554917,0
443,12.90120662,0
444,13.63896006,0
445,14.49917928,0
446,15.50270042,0
447,16.46427362,0
448,17.39016549,0
449,18.29763049,0
450,19.36367617,0
451,20.32433191,0
452,21.53806218,0
453,22.78401286,0
454,24.21526173,0
455,25.7812239,0
456,27.32276054,0
457,28.90644182,0
458,30.59558824,0
459,32.44237732,0
460,34.2341708,0
461,36.11721136,0
462,37.94046198,0
463,39.84899161,0
464,41.64324107,0
465,43.50865179,0
466,45.27536315,0
467,47.14648774,0
468,48.68910132,0
469,50.27891861,0
470,51.92281999,0
471,53.43587334,0
472,55.25820317,0
473,56.7758666,0
474,58.32956509,0
475,59.75794808,0
476,61.43838856,0
477,63.65461202,0
478,65.65022445,0
479,67.72541128,0
480,69.8177521,0
481,71.71812073,0
482,73.89964789,0
483,76.14390756,0
484,78.44834534,0
485,80.90539,0
486,83.58807802,0
487,86.07076745,0
488,88.74196498,0
489,91.28903663,0
490,93.34950206,0
491,95.61066152,0
492,97.14978448,0
493,98.78157916,0
494,99.58600939,0
495,99.79064039,0
496,100,0
497,99.48990463,0
498,98.85457598,0
499,97.67624558,0
500,96.05582686,9.972291109
501,94.12061526,11.11409337
502,91.77912493,12.64210237
503,89.11170227,14.39528345
504,86.39493439,16.36501552
505,83.22329204,18.43971826
506,80.09281015,20.72386159
507,76.41605548,23.11379168
508,72.59783435,25.70117969
509,68.99135732,28.35874394
510,65.08185043,31.00061073
511,61.34188267,33.92859391
512,57.85438144,36.74540861
513,54.21914588,39.77346342
514,50.35275695,42.89048303
515,46.66059327,46.18214297
516,43.32937873,49.4376955
517,39.74832259,52.71421517
518,36.54352315,56.34562887
519,33.411391,59.97298047
520,30.3671468,63.5797927
521,27.79595355,66.49587538
522,25.23463504,69.25965728
523,22.93325767,72.00842076
524,20.73854453,75.22411786
525,18.57499094,78.31447484
526,16.49832589,81.40480063
527,14.67406656,84.18686362
528,13.05634042,86.43955749
529,11.76726903,88.45829355
530,10.54168567,90.36375545
531,9.493819087,92.2769523
532,8.369043255,93.59475019
533,7.413824969,95.32089291
534,6.602725074,96.89409396
535,5.844145342,98.10968615
536,5.226777031,98.62811103
537,4.617278919,99.23528687
538,4.128098799,99.74448161
539,3.692659009,100
540,3.301921991,99.41760754
541,0,99.27616434
542,0,98.8030167
543,0,98.61398499
544,0,98.36257754
545,0,96.76153469
546,0,94.74008252
547,0,93.75777734
548,0,92.29872787
549,0,91.33010826
550,0,90.1404274
551,0,88.54310146
552,0,87.17454534
553,0,85.69413136
554,0,83.76651975
555,0,82.57457352
556,0,81.37249247
557,0,80.06453035
558,0,78.77459396
559,0,77.26500085
560,0,75.98042065
561,0,74.90092163
562,0,73.22526362
563,0,72.2635167
564,0,71.12642463
565,0,70.17572178
566,0,69.19799411
567,0,67.95494293
568,0,66.91209861
569,0,65.73281613
570,0,64.55538274
571,0,63.48149917
572,0,62.63478677
573,0,61.41696873
574,0,60.70834808
575,0,59.62107195
576,0,58.45692691
577,0,57.65962911
578,0,56.39568444
579,0,55.39470305
580,0,54.45128349
581,0,53.6887263
582,0,52.6720965
583,0,51.76873706
584,0,50.57585511
585,0,49.59359644
586,0,48.85689435
587,0,47.72249438
588,0,46.76772348
589,0,45.77385488
590,0,44.87191627
591,0,43.92461244
592,0,42.79357018
593,0,41.76915717
594,0,40.76608315
595,0,39.99472884
596,0,39.22126559
597,0,38.36447397
598,0,37.57627769
599,0,36.60996871
600,0,35.70780431
601,0,34.78480074
602,0,34.03709838
603,0,33.12527094
604,0,32.17652955
605,0,31.50829874
606,0,30.84950925
607,0,30.40992388
608,0,29.22389388
609,0,28.46582297
610,0,27.68191581
611,0,26.7986744
612,0,25.95531918
613,0,25.25535867
614,0,24.68946475
615,0,24.32134143
616,0,23.62018584
617,0,23.33651685
618,0,22.72657556
619,0,22.10043246
620,0,21.62863237
621,0,21.20648722
622,0,20.64868594
623,0,20.31071231
624,0,19.72784115
625,0,19.29397149
626,0,18.77140131
627,0,18.4282746
628,0,18.02417402
629,0,17.64406178
630,0,17.14856904
631,0,16.88462292
632,0,16.4290919
633,0,15.95297338
634,0,15.68273776
635,0,15.16871418
636,0,14.9135717
637,0,14.53373618
638,0,14.18715187
639,0,14.01407278
640,0,13.59681077
641,0,13.31300884
642,0,13.03625707
643,0,12.59023545
644,0,12.3415288
645,0,12.15763748
646,0,12.05129244
647,0,11.57395858
648,0,11.35121528
649,0,10.96786363
650,0,10.72794349
651,0,10.39210296
652,0,10.39327225
653,0,9.981451684
654,0,9.793286007
655,0,9.565037534
656,0,9.173505525
657,0,9.096328594
658,0,8.57102496
659,0,8.483203658
660,0,8.272706653
661,0,8.183219381
662,0,7.667738196
663,0,7.55305917
664,0,7.684396271
665,0,7.149435636
666,0,6.934121533
667,0,6.832436666
668,0,6.596953552
669,0,6.526304738
670,0,6.417902542
671,0,6.196672972
672,0,6.085333354
673,0,5.964174838
674,0,5.922904958
675,0,5.734739525
676,0,5.655199178
677,0,5.530531728
678,0,5.297716579
679,0,5.265163089
680,0,5.214226925
681,0,5.167346769
682,0,4.89675246
683,0,4.813277051
684,0,4.773196975
685,0,4.656721325
686,0,4.557717148
687,0,4.313653079
688,0,4.297201102
689,0,4.258706589
690,0,4.17711015
691,0,4.124955074
692,0,3.917553187
693,0,3.776244765
694,0,3.70150622
695,0,3.62938387
696,0,3.433211726
697,0,3.378571993
698,0,3.344244809
699,0,3.266505116
700,0,3.146249228
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
